QT_VDA;QT_VDA_valido;QT_VDA_FINAL
00000008;true;8.0
00000016A;false;0.0
00000008B;false;0.0
00000008C;false;0.0
00000010;true;10.0
00000010;true;10.0
00000020;true;20.0
00000002;true;2.0
00000003;true;3.0
00000002;true;2.0
00000001;true;1.0
00000003;true;3.0
00000002;true;2.0
00000003;true;3.0
00000004;true;4.0
00000010;true;10.0
00000001;true;1.0
00000002;true;2.0
00000001;true;1.0
00000005;true;5.0
00000001;true;1.0
00000003;true;3.0
00000010;true;10.0
00000010;true;10.0
00000030;true;30.0
00000020;true;20.0
00000020;true;20.0
00000020;true;20.0
00000017;true;17.0
00000007;true;7.0
00000005;true;5.0
00000020;true;20.0
00000020;true;20.0
00000020;true;20.0
00000013;true;13.0
00000030;true;30.0
00000015;true;15.0
00000010;true;10.0
00000025;true;25.0
00000010;true;10.0
00000040;true;40.0
00000003;true;3.0
00000003;true;3.0
00000010;true;10.0
00000003;true;3.0
00000010;true;10.0
00000003;true;3.0
00000003;true;3.0
00000003;true;3.0
00000003;true;3.0
