Codigo Cliente;Codigo Produto;Codigo Consultor;DataFaturamento;NumeroNota;ModeloNota;SerieNota;QtdeFaturada;ValorFaturado;NatOperacao;Descricao Filial;CNPJ FORNECEDOR;CNPJ ROGE;OrigemPedido
1726596;375822teste;81565;20201116;1942656;55;7;6;19,320000;Venda;Interg;22137853000102;10829506000161;Venda Externa
559090;427706;924568;20201116;1942647;55;7;12;57,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
559090;427718;924568;20201116;1942647;55;7;12;57,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
766434;427718;60460;20201116;1942641;55;7;6;31,080000;Venda;Interg;22137853000102;10829506000161;Venda Externa
766434;427731;60460;20201116;1942641;55;7;6;31,080000;Venda;Interg;22137853000102;10829506000161;Venda Externa
746733;385955;986458;20201116;1942620;55;7;6;75,540000;Venda;Interg;22137853000102;10829506000161;Venda Externa
746733;389729;986458;20201116;1942620;55;7;12;151,080000;Venda;Interg;22137853000102;10829506000161;Venda Externa
585751;116970;100833;20201116;1942619;55;7;3;14,670000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;385955;74962;20201116;1942612;55;7;1;12,750000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;386133;74962;20201116;1942612;55;7;3;38,250000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;386560;74962;20201116;1942612;55;7;3;38,250000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;387332;74962;20201116;1942612;55;7;2;25,500000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;389729;74962;20201116;1942612;55;7;1;12,750000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;396849;74962;20201116;1942612;55;7;1;12,750000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;396886;74962;20201116;1942612;55;7;1;12,750000;Venda;Interg;22137853000102;10829506000161;Venda Externa
919860;396904;74962;20201116;1942612;55;7;2;25,500000;Venda;Interg;22137853000102;10829506000161;Venda Externa
433901;416988;68111;20201116;1942608;55;7;36;129,600000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
788284;416927;12660;20201116;1942597;55;7;24;65,520000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
826121;79984;7717;20201116;1942590;55;7;1;5,500000;Venda;Interg;22137853000102;10829506000161;Venda Externa
744671;386560;7717;20201116;1942552;55;7;6;75,540000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
744671;389729;7717;20201116;1942552;55;7;6;75,540000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
744671;396904;7717;20201116;1942552;55;7;3;37,770000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
832881;416927;88237;20201116;1942547;55;7;18;47,340000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
1060480;221946;851;20201116;1942485;55;7;3;14,370000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1060480;116970;851;20201116;1942485;55;7;3;14,370000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1060480;116981;851;20201116;1942485;55;7;3;14,370000;Venda;Interg;22137853000102;10829506000161;Venda Externa
805891;79972;851;20201116;1942474;55;7;2;9,580000;Venda;Interg;22137853000102;10829506000161;Venda Externa
805891;410159;851;20201116;1942474;55;7;4;14,560000;Venda;Interg;22137853000102;10829506000161;Venda Externa
